company,region,quarter,revenue,employees,satisfaction_score
GammaSoft,West,Q4,1679.67,489,3.6
DeltaInc,North,Q1,1464.83,94,4.8
DeltaInc,South,Q1,1445.93,88,4.6
DeltaInc,East,Q1,1334.66,92,4.9
DeltaInc,West,Q1,1461.04,77,3.5
DeltaInc,North,Q2,1633.14,82,4.5
DeltaInc,South,Q2,1638.76,80,4.8
DeltaInc,East,Q2,1700.43,77,4.2
DeltaInc,West,Q2,1570.95,82,5.0
DeltaInc,North,Q3,1732.83,92,4.3
DeltaInc,South,Q3,1486.86,93,4.1
DeltaInc,East,Q3,1592.17,92,4.9
DeltaInc,West,Q3,1763.48,91,3.8
DeltaInc,North,Q4,1745.5,78,3.2
DeltaInc,South,Q4,1727.76,95,3.4
DeltaInc,East,Q4,1583.23,79,4.2
DeltaInc,West,Q4,1730.15,91,3.7
EpsilonLtd,North,Q1,1328.93,160,4.0
EpsilonLtd,South,Q1,1512.81,163,4.6
EpsilonLtd,East,Q1,1372.26,165,3.2
EpsilonLtd,West,Q1,1653.41,175,3.2
EpsilonLtd,North,Q2,1583.67,173,4.1
EpsilonLtd,South,Q2,1398.69,158,3.7
EpsilonLtd,East,Q2,1767.36,167,3.2
EpsilonLtd,West,Q2,1605.18,167,3.2
EpsilonLtd,North,Q3,1498.53,159,3.9
EpsilonLtd,South,Q3,1806.92,160,3.2
EpsilonLtd,East,Q3,1837.96,175,4.5
EpsilonLtd,West,Q3,1610.27,178,4.0
EpsilonLtd,North,Q4,1759.63,176,3.1
EpsilonLtd,South,Q4,1661.25,158,3.6
EpsilonLtd,East,Q4,1725.78,175,3.1
EpsilonLtd,West,Q4,1850.26,164,4.3
ZetaGroup,North,Q1,1265.17,304,4.9
ZetaGroup,South,Q1,1129.23,287,4.8
ZetaGroup,East,Q1,1298.41,292,3.1
ZetaGroup,West,Q1,1123.91,302,4.9
ZetaGroup,North,Q2,1133.41,301,4.3
ZetaGroup,South,Q2,1363.99,306,4.5
ZetaGroup,East,Q2,1182.98,305,4.8
ZetaGroup,West,Q2,1420.73,289,3.1
ZetaGroup,North,Q3,1322.92,295,4.4
ZetaGroup,South,Q3,1254.79,295,4.6
ZetaGroup,East,Q3,1421.65,300,4.3
ZetaGroup,West,Q3,1186.58,289,4.5
ZetaGroup,North,Q4,1635.73,291,4.7
ZetaGroup,South,Q4,1588.8,292,3.3
ZetaGroup,East,Q4,1540.4,295,4.7
ZetaGroup,West,Q4,1659.36,292,3.4
EtaSystems,North,Q1,740.23,254,4.3
EtaSystems,South,Q1,612.54,252,3.4
EtaSystems,East,Q1,577.8,248,3.7
EtaSystems,West,Q1,530.95,260,3.2
EtaSystems,North,Q2,779.74,243,3.9
EtaSystems,South,Q2,832.73,246,4.7
EtaSystems,East,Q2,926.03,251,3.8
EtaSystems,West,Q2,931.34,253,3.5
EtaSystems,North,Q3,995.58,258,5.0
EtaSystems,South,Q3,1025.2,244,4.8
EtaSystems,East,Q3,796.18,263,3.5
EtaSystems,West,Q3,693.32,249,3.6
EtaSystems,North,Q4,889.5,251,3.8
EtaSystems,South,Q4,1075.39,255,4.3
EtaSystems,East,Q4,923.36,258,3.3
EtaSystems,West,Q4,872.89,256,3.3
ThetaIO,North,Q1,1362.63,155,4.1
ThetaIO,South,Q1,1173.5,169,3.3
ThetaIO,East,Q1,1227.45,166,3.1
ThetaIO,West,Q1,1090.18,155,4.2
ThetaIO,North,Q2,1473.42,163,5.0
ThetaIO,South,Q2,1345.35,160,3.3
ThetaIO,East,Q2,1195.25,165,4.6
ThetaIO,West,Q2,1515.58,166,3.6
ThetaIO,North,Q3,1603.67,162,3.3
ThetaIO,South,Q3,1541.17,163,4.3
ThetaIO,East,Q3,1312.83,159,3.5
ThetaIO,West,Q3,1272.78,155,4.5
ThetaIO,North,Q4,1494.88,162,3.8
ThetaIO,South,Q4,1412.79,157,4.5
ThetaIO,East,Q4,1571.83,168,4.3
ThetaIO,West,Q4,1655.53,170,3.4
IotaLabs,North,Q1,1712.24,291,3.4
IotaLabs,South,Q1,1497.54,289,3.6
IotaLabs,East,Q1,1498.35,286,3.9
IotaLabs,West,Q1,1479.68,284,4.9
IotaLabs,North,Q2,1720.99,293,4.9
IotaLabs,South,Q2,1690.04,289,4.9
IotaLabs,East,Q2,1673.24,287,4.7
IotaLabs,West,Q2,1836.57,292,4.6
IotaLabs,North,Q3,1784.57,300,3.7
IotaLabs,South,Q3,1650.46,296,3.4
IotaLabs,East,Q3,1622.04,298,3.7
IotaLabs,West,Q3,1811.74,287,3.5
IotaLabs,North,Q4,1808.81,302,3.0
IotaLabs,South,Q4,1828.21,283,3.0
IotaLabs,East,Q4,1893.47,295,4.9
IotaLabs,West,Q4,1747.59,283,4.2
KappaData,North,Q1,603.25,171,3.7
KappaData,South,Q1,453.89,156,5.0
KappaData,East,Q1,753.13,171,4.9
KappaData,West,Q1,645.27,174,3.1
KappaData,North,Q2,691.6,161,3.4
KappaData,South,Q2,688.69,171,4.2
KappaData,East,Q2,615.47,156,3.5
KappaData,West,Q2,764.76,163,4.9
KappaData,North,Q3,925.03,173,4.3
KappaData,South,Q3,919.67,163,4.3
KappaData,East,Q3,681.58,159,4.3
KappaData,West,Q3,676.73,156,4.3
KappaData,North,Q4,664.82,157,4.5
KappaData,South,Q4,952.78,158,3.5
KappaData,East,Q4,993.51,175,4.5
KappaData,West,Q4,675.07,165,5.0
